HS Code,Item Description,Basic Duty (SCH),IGST,10% SWS,Total duty with SWS of 10% on BCD
2903 78 00,Other perhalogenated derivatives,7.5,18,0.75,27.735
2903 79 00,Other,7.5,18,0.75,27.735
2903 81 00,"1,2,3,4,5,6-Hexachlorocyclohexane [HCH (ISO)], including lindane (ISO, INN)",7.5,18,0.75,27.735
2903 82 00,"Aldrin (ISO), chlordane (ISO)",7.5,18,0.75,27.735
2903 83 00,Mirex (ISO),7.5,18,0.75,27.735
2903 89 00,Other,7.5,18,0.75,27.735
2903 91 10,Chlorobenzene (monochloro),7.5,18,0.75,27.735
2903 91 20,o - dichlorobenzene (Orthodichlorobenzene),7.5,18,0.75,27.735
2903 91 30,p - dichlorobenzene (Paradichlorobenzene),7.5,18,0.75,27.735
2903 92 10,Hexachlorobenzene (ISO),7.5,18,0.75,27.735
2903 92 21,DDT Technical 75 Wdp,7.5,18,0.75,27.735
2903 92 29,Other,7.5,18,0.75,27.735
2903 93 00,Pentachlorobenzene (ISO) ,7.5,18,0.75,27.735
2903 94 00,Hexabromobiphenyls ,7.5,18,0.75,27.735
2903 99 10,Chlorofluorobenzene,7.5,18,0.75,27.735
2903 99 20,Benzalchloride (Benzyl dichloride),7.5,18,0.75,27.735
2903 99 30,Benzotrichloride,7.5,18,0.75,27.735
2903 99 40,Benzylchloride,7.5,18,0.75,27.735
2903 99 50,Parachlorotoluene (4-chloromethyl benzene),7.5,18,0.75,27.735
2903 99 60,"Naphthalene, chlorinated",7.5,18,0.75,27.735
2903 99 70,Chlorofluoro aniline,7.5,18,0.75,27.735
2903 99 90,Other,7.5,18,0.75,27.735
2904 10 10,Benzene sulphonic acid,5,18,0.5,24.49
2904 10 20,"1,5 Napthelene disulphonic acid (Armstrong’s acid)",5,18,0.5,24.49
2904 10 30,Napthelene sulphonic acid,5,18,0.5,24.49
2904 10 90,Other,5,18,0.5,24.49
2904 20 10,Nitrobenzene,5,18,0.5,24.49
2904 20 20,Meta dinitrobenzene,5,18,0.5,24.49
2904 20 30,Meta nitrotoluene,5,18,0.5,24.49
2904 20 40,Ortho nitrotoluene,5,18,0.5,24.49
2904 20 50,Para nitrotoluene,5,18,0.5,24.49
2904 20 60,Dinitrotoluene,5,18,0.5,24.49
2904 20 90,Other,5,18,0.5,24.49
2904 31 00,Perfluorooctane sulphonic acid ,5,18,0.5,24.49
2904 32 00,Ammonium perfluorooctane sulphonate ,5,18,0.5,24.49
2904 33 00,Lithium perfluorooctane sulphonate ,5,18,0.5,24.49
2904 34 00,Potassium perfluorooctane sulphonate ,5,18,0.5,24.49
2904 35 00,Other salts of perfluorooctane sulphonic acid ,5,18,0.5,24.49
2904 36 00,Perfluorooctane sulphonyl fluoride ,5,18,0.5,24.49
2904 91 00,Trichloronitromethane (chloropicrin) ,5,18,0.5,24.49
2904 99 10,"2, 5 dichloronitrobenzene ",5,18,0.5,24.49
2904 99 20,Dinitrochlorebenzene ,5,18,0.5,24.49
2904 99 30,Meta nitrochlorobenzene ,5,18,0.5,24.49
2904 99 40,Ortho nitrochlorobenzene ,5,18,0.5,24.49
2904 99 50,Para nitrochlorobenzene ,5,18,0.5,24.49
2904 99 60,2-nitrochlorotoluene ,5,18,0.5,24.49
2904 99 70,Sodium meta nitrochlorobenzene sulphonate ,5,18,0.5,24.49
2904 99 90,Other ,5,18,0.5,24.49
2905 11 00,Methanol (methyl alcohol),2.5,18,0.25,21.245
2905 12 10,Propyl alcohol,7.5,18,0.75,27.735
2905 12 20,Isopropyl alcohol,7.5,18,0.75,27.735
2905 13 00,Butan-1-ol (n-butyl alcohol),7.5,18,0.75,27.735
2905 14 10,"Ethambutol, ethambutol Hcl",7.5,18,0.75,27.735
2905 14 20,Salbutamol sulphate,7.5,18,0.75,27.735
2905 14 30,Amino butanol,7.5,18,0.75,27.735
2905 14 90,Other,7.5,18,0.75,27.735
2905 16 10,Dimethyl octanol,7.5,18,0.75,27.735
2905 16 20,2-ethyl hexanol,7.5,18,0.75,27.735
2905 16 90,Other,7.5,18,0.75,27.735
2905 17 00,"Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)",7.5,18,0.75,27.735
2905 19 10,"2-Butanol, 3, 3-dimethyl-",7.5,18,0.75,27.735
2905 19 90,Other ,7.5,18,0.75,27.735
2905 22 10,Citranellol,7.5,18,0.75,27.735
2905 22 20,Geraniol,7.5,18,0.75,27.735
2905 22 30,Linalool,7.5,18,0.75,27.735
2905 22 40,Rhodinol,7.5,18,0.75,27.735
2905 22 50,Dihydromyrcenol,7.5,18,0.75,27.735
2905 22 90,Other,7.5,18,0.75,27.735
2905 29 00,Other,7.5,18,0.75,27.735
2905 31 00,Ethylene glycol (ethanediol),5,18,0.5,24.49
2905 32 00,"Propylene glycol (propane-1,2-diol)",7.5,18,0.75,27.735
2905 39 10,"1,4/1,3/2,3-butylene glycol",7.5,18,0.75,27.735
2905 39 20,Hexylene glycol,7.5,18,0.75,27.735
2905 39 90,Other,7.5,18,0.75,27.735
2905 41 00,"2- Ethyl-2-(hydroxymethyl) propane-1,3-diol (trimethylolropane)",7.5,18,0.75,27.735
2905 42 10,Dipentaerythritol,7.5,18,0.75,27.735
2905 42 90,Other,7.5,18,0.75,27.735
2905 43 00,Mannitol,20,18,2,43.96
2905 44 00,D-glucitol (Sorbitol),20,18,2,43.96
2905 45 00,Glycerol,7.5,18,0.75,27.735
2905 49 00,Other,7.5,18,0.75,27.735
2905 51 00,Ethchlorvynol (INN),7.5,18,0.75,27.735
2905 59 00,Other,7.5,18,0.75,27.735
2906 11 00,Menthol,7.5,18,0.75,27.735
2906 12 00,"Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols",7.5,18,0.75,27.735
2906 13 10,Cholesterol,7.5,18,0.75,27.735
2906 13 90,Other,7.5,18,0.75,27.735
2906 19 10,Borneol,7.5,18,0.75,27.735
2906 19 90,Other,7.5,18,0.75,27.735
2906 21 00,Benzyl alcohol,7.5,18,0.75,27.735
2906 29 10,Cinnamic alcohol,7.5,18,0.75,27.735
2906 29 20,Phenylethyl alcohol,7.5,18,0.75,27.735
2906 29 90,Other,7.5,18,0.75,27.735
2907 11 10,"Phenol, as pure carbolic acid",7.5,18,0.75,27.735
2907 11 90,Other,7.5,18,0.75,27.735
2907 12 10,Para cresols (p-cresols),7.5,18,0.75,27.735
2907 12 20,Cresylic acid,7.5,18,0.75,27.735
2907 12 90,Other,7.5,18,0.75,27.735
2907 13 00,"Octylphenol, nonylphenol and their isomers; salts thereof",7.5,18,0.75,27.735
2907 15 10,Alpha naphthols,7.5,18,0.75,27.735
2907 15 20,Beta naphthols,7.5,18,0.75,27.735
2907 15 90,Other,7.5,18,0.75,27.735
2907 19 10,o-Phenyl phenols,7.5,18,0.75,27.735
2907 19 20,p-Phenyl phenols,7.5,18,0.75,27.735
2907 19 30,Thymol,7.5,18,0.75,27.735
2907 19 40,Para tertiary butyl phenol,7.5,18,0.75,27.735
2907 19 50,Alkyl phenols,7.5,18,0.75,27.735
2907 19 90,Other,7.5,18,0.75,27.735
2907 21 00,Resorcinol and its salts,7.5,18,0.75,27.735
2907 22 00,Hydroquinone (quinol) and its salts,7.5,18,0.75,27.735
2907 23 00,"4,4 –isopropylidenediphenol (bis-phenol A, diphenylolpropane) and its salts",7.5,18,0.75,27.735
2907 29 10,"1,5- Dihydroxy naphthalene",7.5,18,0.75,27.735
2907 29 20,Tris (p-hydroxy phenyl) ethane,7.5,18,0.75,27.735
2907 29 30,Tertiary butyl hydroquinone,7.5,18,0.75,27.735
2907 29 90,Other,7.5,18,0.75,27.735
2908 11 00,Pentachlorophenol (ISO),7.5,18,0.75,27.735
2908 19 00,Other,7.5,18,0.75,27.735
2908 91 00,Dinoseb (ISO) and its salts,7.5,18,0.75,27.735
2908 92 00,"4, 6-Dinitro-o-cresol [DNOC (ISO)] and its salts",7.5,18,0.75,27.735
2908 99 10,Para nitrophenol,7.5,18,0.75,27.735
2908 99 20,Musk xylol,7.5,18,0.75,27.735
2908 99 90,Other,7.5,18,0.75,27.735
2909 11 00,Diethyl ether,7.5,18,0.75,27.735
2909 19 10,Tertiary amyl methyl ether,7.5,18,0.75,27.735
2909 19 20,Methyl tertiary butyl ether (MTBE),7.5,18,0.75,27.735
2909 19 90,Other,7.5,18,0.75,27.735
2909 20 00,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",7.5,18,0.75,27.735
2909 30 11,4-chloro-2-nitro anisole,7.5,18,0.75,27.735
2909 30 12,Ortho nitro anisole,7.5,18,0.75,27.735
2909 30 19,Other,7.5,18,0.75,27.735
2909 30 20,Diphenyl oxide,7.5,18,0.75,27.735
2909 30 30,Musk ambrette,7.5,18,0.75,27.735
2909 30 90,Other,7.5,18,0.75,27.735
2909 41 00,"2,2’-oxydiethanol (diethylene glycol, digol)",7.5,18,0.75,27.735
2909 43 00,Monobutyl ethers of ethylene glycol or of diethylene glycol,7.5,18,0.75,27.735
2909 44 00,Other monoalkylethers of ethylene glycol or of diethylene glycol,7.5,18,0.75,27.735
2909 49 10,Phenoxy ethanol,7.5,18,0.75,27.735
2909 49 20,1-(4-phenoxyphenoxy) propan-2-ol,7.5,18,0.75,27.735
2909 49 30,Meta phenoxy benzyl alcohol (MPBA),7.5,18,0.75,27.735
2909 49 90,Other,7.5,18,0.75,27.735
2909 50 10,Guaiacol,7.5,18,0.75,27.735
2909 50 20,Isoeugenol,7.5,18,0.75,27.735
2909 50 30,Potassium guaiacol sulphonate,7.5,18,0.75,27.735
2909 50 40,4-methoxy phenol (mono methyl ether of hydroquinone),7.5,18,0.75,27.735
2909 50 50,Butylated hydroxyanisole (BHA),7.5,18,0.75,27.735
2909 50 90,Other,7.5,18,0.75,27.735
2909 60 00,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides , ketone peroxides and their halogen-nated, sulphonated, nitrated or nitrosated derivatives",7.5,18,0.75,27.735
2910 10 00,Oxirane (ethylene oxide),7.5,18,0.75,27.116
2910 20 00,Methyloxirane (propylene oxide),5,18,0.25,21.245
2910 30 00,"1-chloro-2,3-expoxypropane (epichlorohydrin)",7.5,18,0.75,27.735
2910 40 00,"Dieldrin (ISO, INN)",7.5,18,0.75,27.735
2910 50 00,Endrin (ISO) ,7.5,18,0.75,27.735
2910 90 00,Other,7.5,18,0.75,27.735
2910 20 00,"Methyloxirane (propylene oxide)
SNo.(191A) in Ntfn-50/2017 dated 30.06.2017",,,,
2911 00 10,"Acetals and hemiacetals, whether or not with other oxygen function",7.5,18,0.75,27.735
2911 00 90,Other,7.5,18,0.75,27.735
2912 11 00,Methanal (formaldehyde),7.5,18,0.75,27.735
2912 12 00,Ethanal (acetaldehyde),7.5,18,0.75,27.735
2912 19 10,Crotonaldehyde,7.5,18,0.75,27.735
2912 19 20,Heptaldehyde (heptanal),7.5,18,0.75,27.735
2912 19 30,Glyoxal,7.5,18,0.75,27.735
2912 19 90,Other,7.5,18,0.75,27.735
2912 21 00,Benzaldehyde,7.5,18,0.75,27.735
2912 29 10,Cinnamic aldehyde,7.5,18,0.75,27.735
2912 29 20,Phenyl acetaldehyde,7.5,18,0.75,27.735
2912 29 30,Hexyl cinnamic aldehyde,7.5,18,0.75,27.735
2912 29 90,Other,7.5,18,0.75,27.735
2912 41 00,Vanillin (4-hydroxy-3-methoxy benzaldehyde),7.5,18,0.75,27.735
2912 42 00,Ethylvanillin (3-ethoxy-4-hydroxy-benzaldehyde),7.5,18,0.75,27.735
2912 49 10,Anisic aldehyde (Anisaldehyde),7.5,18,0.75,27.735
2912 49 20,Heliotropin (piperonyl aldehyde),7.5,18,0.75,27.735
2912 49 30,Thiacetazone,7.5,18,0.75,27.735
2912 49 40,"3,4,5-trimethoxy-benzaldehyde",7.5,18,0.75,27.735
2912 49 91,Aldehyde-alcohols,7.5,18,0.75,27.735
2912 49 99,Other,7.5,18,0.75,27.735
2912 50 00,Cyclic polymers of aldehydes,7.5,18,0.75,27.735
2912 60 00,Paraformaldehyde,7.5,18,0.75,27.735
2913 00 10,Ortho-chloro-benzaldehyde,7.5,18,0.75,27.735
2913 00 90,Other,7.5,18,0.75,27.735
2914 11 00,Acetone,7.5,18,0.75,27.735
2914 12 00,Butanone (methyl ethyl ketone),7.5,18,0.75,27.735
2914 13 00,4-methylpentan-2-one (methyl isobutyl ketone),7.5,18,0.75,27.735
2914 19 10,Isophoron,7.5,18,0.75,27.735
2914 19 90,Other,7.5,18,0.75,27.735
2914 22 00,Cyclohexanone and methyl-cyclohexanones,7.5,18,0.75,27.735
2914 23 10,Beta-ionone,7.5,18,0.75,27.735
2914 23 20,Pseudo ionone,7.5,18,0.75,27.735
2914 23 90,Other,7.5,18,0.75,27.735
2914 29 10,L-caravone,7.5,18,0.75,27.735
2914 29 21,Natural,7.5,18,0.75,27.735
2914 29 22,Synthetic,7.5,18,0.75,27.735
2914 29 30,Pentyl-2-cyclopenten-1-one,7.5,18,0.75,27.735
2914 29 40,Cyclohexane dione,7.5,18,0.75,27.735
2914 29 50,"7-acetyl, 1,2,3,4,5,6,7,8-octahydro, 1,1, 6,7-tetra methyl Naphthalene / 1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl) ethanone",7.5,18,0.75,27.735
2914 29 90,Other,7.5,18,0.75,27.735
2914 31 00,Phenylacetone (phenylpropan-2-one),7.5,18,0.75,27.735
2914 39 10,Aceto phenone,7.5,18,0.75,27.735
2914 39 20,Benzanthrone,7.5,18,0.75,27.735
2914 39 30,Benzophenone,7.5,18,0.75,27.735
2914 39 40,Dibenzanthrone (violanthrone),7.5,18,0.75,27.735
2914 39 90,Other,7.5,18,0.75,27.735
2914 40 00,Ketone-alcohols and ketone-aldehydes,7.5,18,0.75,27.735
2914 50 00,Ketone-phenols and ketones with other oxygen function,7.5,18,0.75,27.735
2914 61 00,Anthraquinone,7.5,18,0.75,27.735
2914 62 00,Coenzyme Q10 (ubidecarenone (INN)),7.5,18,0.75,27.735
2914 69 10,"1,4- dihydroxy anthraquinone (quinizarin)",7.5,18,0.75,27.735
2914 69 20,Methyl anthraquinone,7.5,18,0.75,27.735
2914 69 90,Other,7.5,18,0.75,27.735
2914 71 00,Chlordecone (ISO) ,7.5,18,0.75,27.735
2914 79 10,1-chloro anthraquinone ,7.5,18,0.75,27.735
2914 79 20,Musk ketone ,7.5,18,0.75,27.735
2914 79 30,Tri fluoro methyl acetophenone,7.5,18,0.75,27.735
2914 79 40,Chloro-4-(4-chloro phenoxy) acetophenone,7.5,18,0.75,27.735
2914 79 50,Dichloroacetophenone,7.5,18,0.75,27.735
2914 79 90,Other ,7.5,18,0.75,27.735
2915 11 00,Formic acid,7.5,18,0.75,27.735
2915 12 10,Sodium formate,7.5,18,0.75,27.735
2915 12 90,Other,7.5,18,0.75,27.735
2915 13 00,Esters of formic acid,7.5,18,0.75,27.735
2915 21 00,Acetic acid,5,18,0.5,24.49
2915 24 00,Acetic anhydride,7.5,18,0.75,27.735
2915 29 10,Calcium acetate,7.5,18,0.75,27.735
2915 29 20,Magnesium acetate,7.5,18,0.75,27.735
2915 29 30,Manganese acetate,7.5,18,0.75,27.735
2915 29 90,Other,7.5,18,0.75,27.735
2915 31 00,Ethyl acetate,7.5,18,0.75,27.735
2915 32 00,Vinyl acetate,7.5,18,0.75,27.735
2915 33 00,n-Butyl acetate,7.5,18,0.75,27.735
2915 36 00,Dinoseb (ISO) acetate,7.5,18,0.75,27.735
2915 39 10,Benzyl acetate,7.5,18,0.75,27.735
2915 39 20,Bornyl acetate and iso bornyl acetate,7.5,18,0.75,27.735
2915 39 30,Linalyl acetate,7.5,18,0.75,27.735
2915 39 40,Methyl acetate,7.5,18,0.75,27.735
2915 39 50,Phenyl propyl acetate,7.5,18,0.75,27.735
2915 39 60,Terpinyl acetate,7.5,18,0.75,27.735
2915 39 70,Ortho tertiary butyl cyclohexyl acetate,7.5,18,0.75,27.735
2915 39 80,Para tertiary butyl cyclohexyl acetate,7.5,18,0.75,27.735
2915 39 91,Methyl cyclohexyl acetate,7.5,18,0.75,27.735
2915 39 92,Ethylene glycol mono ethyl ether acetate,7.5,18,0.75,27.735
2915 39 99,Other,7.5,18,0.75,27.735
2915 40 10,"Monochloroacetic acid, their salts and esters",7.5,18,0.75,27.735
2915 40 20,"Dichloroacetic acid, their salts and esters",7.5,18,0.75,27.735
2915 40 30,"Trichloroacetic acid, their salts and esters",7.5,18,0.75,27.735
2915 50 00,"Propionic acid, its salts and esters",7.5,18,0.75,27.735
2915 60 10,"Butanoic acids, their salts and esters",7.5,18,0.75,27.735
2915 60 20,"Pentanoic acids, their salts and esters",7.5,18,0.75,27.735
2915 70 10,Palmitic acid,7.5,18,0.75,27.735
2915 70 20,Stearic acid,7.5,18,0.75,27.735
2915 70 30,Glycerol monostearate,7.5,18,0.75,27.735
2915 70 40,H.C.O.Fatty acid (including 12-hydroxy stearic acid),7.5,18,0.75,27.735
2915 70 50,D.C.O. Fatty acid,7.5,18,0.75,27.735
2915 70 90,Other,7.5,18,0.75,27.735
2915 90 10,Acetyl chloride,7.5,18,0.75,27.735
2915 90 40,Pivaloyl chloride,7.5,18,0.75,27.735
2915 90 50,N-valeryl chloride,7.5,18,0.75,27.735
2915 90 60,N-octanoyl chloride,7.5,18,0.75,27.735
2915 90 70,Neodecanoyl chloride,7.5,18,0.75,27.735
2915 90 91,Hexoic acid (caproic acid),7.5,18,0.75,27.735
2915 90 92,Octoic acid (caprylic acid),7.5,18,0.75,27.735
2915 90 93,Tri fluoro acetic acid,7.5,18,0.75,27.735
2915 90 94,Ethyl difluoro acetate,7.5,18,0.75,27.735
2915 90 95,Ethyl trifluoro acetate,7.5,18,0.75,27.735
2915 90 99,Other,7.5,18,0.75,27.735
2916 11 00,Acrylic acid and its salts,7.5,18,0.75,27.735
2916 12 10,Butyl acrylate,7.5,18,0.75,27.735
2916 12 90,Other,7.5,18,0.75,27.735
2916 13 10,Methacrylic acid,7.5,18,0.75,27.735
2916 13 20,Salts of methacrylic acid,7.5,18,0.75,27.735
2916 14 00,Esters of methacrylic acid,7.5,18,0.75,27.735
2916 15 10,Oleic acid,7.5,18,0.75,27.735
2916 15 90,Other,7.5,18,0.75,27.735
2916 16 00,Binapacryl (ISO),7.5,18,0.75,27.735
2916 19 10,Undecylenic acid,7.5,18,0.75,27.735
2916 19 20,Bismuth compounds of unsaturated acyclic monoacids,7.5,18,0.75,27.735
2916 19 30,Potassium compounds of unsaturated acyclic monoacids,7.5,18,0.75,27.735
2916 19 40,Sodium compounds of unsaturated acyclic monoacids,7.5,18,0.75,27.735
2916 19 50,Esters of unsaturated acyclic monoacids not elsewhere specified,7.5,18,0.75,27.735
2916 19 60,Sorbic acid,7.5,18,0.75,27.735
2916 19 70,Erucic acid,7.5,18,0.75,27.735
2916 19 90,Other,7.5,18,0.75,27.735
2916 20 10,D.V. acid chloride/cypermethric acid chloride,7.5,18,0.75,27.735
2916 20 20,Bifenthrin (ISO),7.5,18,0.75,27.735
2916 20 90,Other,7.5,18,0.75,27.735
2916 31 10,Benzoic acid,7.5,18,0.75,27.735
2916 31 20,Benzyl benzoate,7.5,18,0.75,27.735
2916 31 30,Methyl benzoate,7.5,18,0.75,27.735
2916 31 40,Sodium benzoate,7.5,18,0.75,27.735
2916 31 50,Benzocaine (ethylpara-amino benzoate),7.5,18,0.75,27.735
2916 31 60,Orthochloro benzoic acid,7.5,18,0.75,27.735
2916 31 90,Other,7.5,18,0.75,27.735
2916 32 00,Benzoyl peroxide and benzoyl chloride,7.5,18,0.75,27.735
2916 34 00,Phenylacetic acid and its salts,7.5,18,0.75,27.735
2916 39 10,Cinnamic acid,7.5,18,0.75,27.735
2916 39 20,Bismuth compounds of aromatic monoacids,7.5,18,0.75,27.735
2916 39 30,Potassium compounds of aromatic monoacids,7.5,18,0.75,27.735
2916 39 40,Sodium compounds of aromatic monoacids,7.5,18,0.75,27.735
2916 39 50,Esters of aromatic monoacids not elsewhere specified,7.5,18,0.75,27.735
2916 39 60,Dichlorophenyl acetyl chloride,7.5,18,0.75,27.735
2916 39 90,Other,7.5,18,0.75,27.735
2917 11 10,Oxalic acid,7.5,18,0.75,27.735
2917 11 20,Calcium oxalate,7.5,18,0.75,27.735
2917 11 30,Strontium oxalate,7.5,18,0.75,27.735
2917 11 40,Diethyl oxalate,7.5,18,0.75,27.735
2917 11 90,Other,7.5,18,0.75,27.735
2917 12 00,"Adipic acid, its salts and esters",7.5,18,0.75,27.735
2917 13 10,Sebacic Acid,7.5,18,0.75,27.735
2917 13 90,Other,7.5,18,0.75,27.735
2917 14 00,Maleic anhydride,7.5,18,0.75,27.735
2917 19 10,Maleic acid,7.5,18,0.75,27.735
2917 19 20,Malonic acid,7.5,18,0.75,27.735
2917 19 30,Succinic acid,7.5,18,0.75,27.735
2917 19 40,Ferrous fumarate,7.5,18,0.75,27.735
2917 19 50,Fumaric acid,7.5,18,0.75,27.735
2917 19 60,Itaconic acid,7.5,18,0.75,27.735
2917 19 70,"Ethoxy methylene malonate, diethyl malonate",7.5,18,0.75,27.735
2917 19 90,Other,7.5,18,0.75,27.735
2917 20 00,"Cyclanic, cyclenic or cycloterpenic, polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",7.5,18,0.75,27.735
2917 32 00,Dioctyl orthophthalates,7.5,18,0.75,27.735
2917 33 00,Dinonyl or didecyl orthophthalates,7.5,18,0.75,27.735
2917 34 00,Other esters of orthophthalic acid,7.5,18,0.75,27.735
2917 35 00,Phthalic anhydride,7.5,18,0.75,27.735
2917 36 00,Terephthalic acid and its salts,5,18,0.5,24.49
2917 37 00,Dimethyl terephthalate ,5,18,0.5,24.49
2917 39 10,Dibutyl phthalate,7.5,18,0.75,27.735
2917 39 20,Dioctyl isophthalate and dioctyl terephthalate,7.5,18,0.75,27.735
2917 39 30,Phthalic acid,7.5,18,0.75,27.735
2917 39 40,Dimethyl phthalate,7.5,18,0.75,27.735
2917 39 50,Trimellitic anhydride,7.5,18,0.75,27.735
2917 39 60,Isophthalic acid,7.5,18,0.75,27.735
2917 39 90,Other,7.5,18,0.75,27.735
2918 11 10,Lactic acid,7.5,18,0.75,27.735
2918 11 20,Calcium lactate,7.5,18,0.75,27.735
2918 11 90,Other,7.5,18,0.75,27.735
2918 12 00,Tartaric acid,7.5,18,0.75,27.735
2918 13 10,Potassium bitartrate,7.5,18,0.75,27.735
2918 13 20,Metroprolol tartrate,7.5,18,0.75,27.735
2918 13 90,Other,7.5,18,0.75,27.735
2918 14 00,Citric acid,7.5,18,0.75,27.735
2918 15 10,Potassium citrate,7.5,18,0.75,27.735
2918 15 20,Sodium citrate,7.5,18,0.75,27.735
2918 15 30,Bismuth citrate,7.5,18,0.75,27.735
2918 15 40,Disodium hydrogen citrate,7.5,18,0.75,27.735
2918 15 50,Ferric ammonium citrate,7.5,18,0.75,27.735
2918 15 90,Other,7.5,18,0.75,27.735
2918 16 10,Calcium gluconate,7.5,18,0.75,27.735
2918 16 20,Ferrous gluconate,7.5,18,0.75,27.735
2918 16 90,Other,7.5,18,0.75,27.735
2918 17 00,"2, 2-Diphenyl-2-hydroxyacetic acid (benzilic acid) ",7.5,18,0.75,27.735
2918 18 00,Chlorobenzilate (ISO),7.5,18,0.75,27.735
2918 19 10,"Benzeneacetic acid, alpha-hydroxy-alpha-phenyl-",7.5,18,0.75,27.735
2918 19 20,Cholic acid,7.5,18,0.75,27.735
2918 19 30,Ricinoleic acid,7.5,18,0.75,27.735
2918 19 90,Other ,7.5,18,0.75,27.735
2918 21 10,Salicylic acid,7.5,18,0.75,27.735
2918 21 20,Sodium salicylate,7.5,18,0.75,27.735
2918 21 90,Other,7.5,18,0.75,27.735
2918 22 00,"O-Acetylsalicylic acid, its salts and esters",7.5,18,0.75,27.735
2918 23 10,Methyl salicylate,7.5,18,0.75,27.735
2918 23 20,Amino salicylate,7.5,18,0.75,27.735
2918 23 30,Salicylamide,7.5,18,0.75,27.735
2918 23 40,Benzyl salicylate,7.5,18,0.75,27.735
2918 23 90,Other,7.5,18,0.75,27.735
2918 29 10,Gallic acid,7.5,18,0.75,27.735
2918 29 20,Beta hydroxy napthoic acid,7.5,18,0.75,27.735
2918 29 30,Propyl gallate,7.5,18,0.75,27.735
2918 29 90,Other,7.5,18,0.75,27.735
2918 30 10,Levulinic acid,7.5,18,0.75,27.735
2918 30 20,Ethyl aceto acetate (acetoacetic ester),7.5,18,0.75,27.735
2918 30 30,Nalidixic acid,7.5,18,0.75,27.735
2918 30 40,Methyl aceto acetate,7.5,18,0.75,27.735
2918 30 50,Fluoro benzoyl butyric acid,7.5,18,0.75,27.735
2918 30 90,Other,7.5,18,0.75,27.735
2918 91 00,"2,4,5-T (ISO) (2,4,5- trichlorophenoxyacetic acid), its salts and esters",7.5,18,0.75,27.735
2918 99 10,Sodium phenoxy acetate,7.5,18,0.75,27.735
2918 99 20,Methyl (E)-2-[2-(chloro methyl) phenyl]-3- methoxyacrylate,7.5,18,0.75,27.735
2918 99 90,Other,7.5,18,0.75,27.735
2919 10 00,"Tris(2,3-dibromopropyl) phosphate",7.5,18,0.75,27.735
2919 90 10,Glycerophosphoric acid,7.5,18,0.75,27.735
2919 90 20,Calcium glycerophosphate,7.5,18,0.75,27.735
2919 90 30,Iron glycerophosphate,7.5,18,0.75,27.735
2919 90 40,Sodium glycerophosphate,7.5,18,0.75,27.735
2919 90 50,Tricresyl phosphate,7.5,18,0.75,27.735
2919 90 90,Other,7.5,18,0.75,27.735
2920 11 00,Parathion (ISO) and parathion-methyl (ISO) (methylparathion) ,7.5,18,0.75,27.735
2920 19 20,"Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",7.5,18,0.75,27.735
2920 19 90,Other,7.5,18,0.75,27.735
2920 21 00,Dimethyl phosphite ,7.5,18,0.75,27.735
2920 22 00,Diethyl phosphite ,7.5,18,0.75,27.735
2920 23 00,Trimethyl phosphite ,7.5,18,0.75,27.735
2920 24 00,Triethyl phosphite ,7.5,18,0.75,27.735
2920 29 10,Dimethyl sulphate ,7.5,18,0.75,27.735
2920 29 20,Diethyl sulphate ,7.5,18,0.75,27.735
2920 29 30,"Tris (2, 3 Dibromopropyl) phosphate ",7.5,18,0.75,27.735
2920 29 90,Other ,7.5,18,0.75,27.735
2920 30 00,Endosulfan (ISO) ,7.5,18,0.75,27.735
2920 90 00,Other,7.5,18,0.75,27.735
2921 11 10,Dimethyl formide,7.5,18,0.75,27.735
2921 11 90,Other,7.5,18,0.75,27.735
2921 12 00,"2-(N, N-Dimethylamino)ethylchloride hydrochloride ",7.5,18,0.75,27.735
2921 13 00,"2-(N, N-Diethylamino)ethylchloride hydrochloride ",7.5,18,0.75,27.735
2921 14 00,"2-(N, N-Diisopropylamino)ethylchloride hydrochloride ",7.5,18,0.75,27.735
2921 19 10,"2-Chloro N, N-Diisopropyl ethylamine ",7.5,18,0.75,27.735
2921 19 20,"2-Chloro N, N-Dimethyl ethanamine ",7.5,18,0.75,27.735
2921 19 90,Other ,7.5,18,0.75,27.735
2921 21 00,Ethylenediamine and its salts,7.5,18,0.75,27.735
2921 22 00,Hexamethylenediamine and its salts,7.5,18,0.75,27.735
2921 29 10,Hexamethylene tetramine (hexamine) not put up as fuel or medicament,7.5,18,0.75,27.735
2921 29 20,Trimethylene triniframine,7.5,18,0.75,27.735
2921 29 90,Other,7.5,18,0.75,27.735
2921 30 10,Cyclohexylamine,7.5,18,0.75,27.735
2921 30 90,Other,7.5,18,0.75,27.735
2921 41 10,Aniline,7.5,18,0.75,27.735
2921 41 20,Aniline hydrochloride,7.5,18,0.75,27.735
